subscription,name,start_read_date,end_read_date,estimated_volume,volume,grass_area
1445850,TEOMAN ÖZTÜRK PARKI,2023-08-07,2023-09-05,1903,942.0,8000
1446436,RAUF DENKTAŞ PARKI,2018-04-19,2018-05-22,739,471.0,5562
1447076,HAMZA AKSOY PARKI,2016-06-29,2016-08-03,403,131.0,1916
2246025,KEMAL SUNAL PARKI,2016-08-27,2016-10-01,230,353.0,1600
1071286,NECATİ YURTTAKALAN PARKI,2018-11-01,2019-07-01,315,40.0,1011
1073156,İSMET İNÖNÜ PARKI,2023-08-05,2023-09-06,2385,644.0,9088
670666,TEOMAN EREL PARKI,2020-08-07,2020-09-08,655,374.0,2765
1074372,NEJAT UYGUR PARKI,2022-06-02,2022-06-30,149,108.0,1470
2246325,SÜLEYMAN TÜRKOĞLU PARKI,2019-10-02,2020-07-03,858,350.0,1919
1446837,KAĞAN GÜRŞEN PARKI,2018-08-31,2018-10-02,160,2.0,1125
1445850,TEOMAN ÖZTÜRK PARKI,2023-01-05,2023-05-06,604,18.0,8000
1446573,AYTEN BAYKAL PARKI,2015-08-04,2015-09-02,340,71.0,2236
1446436,RAUF DENKTAŞ PARKI,2019-05-22,2019-06-27,842,1056.0,5562
1446573,AYTEN BAYKAL PARKI,2021-08-04,2021-09-02,387,59.0,2236
611617,YUNUS EMRE PARKI,2023-07-05,2023-08-02,902,955.0,4847
2246419,ŞÜKRAN GÜNGÖR,2016-08-31,2016-10-04,154,139.0,1058
1446966,SEMA YAZAR PARKI,2018-08-31,2018-10-02,406,339.0,2850
671617,ATA PARK,2015-06-01,2015-07-01,524,294.0,6052
1074372,NEJAT UYGUR PARKI,2016-08-27,2016-10-03,226,362.0,1470
1447067,NEŞET ERTAŞ PARKI,2020-09-07,2020-10-06,491,1660.0,3160
1446573,AYTEN BAYKAL PARKI,2021-09-02,2021-10-01,231,27.0,2236
1071286,NECATİ YURTTAKALAN PARKI,2022-05-31,2022-09-01,461,79.0,1011
1070089,ATAPARK,2017-10-28,2018-04-21,655,18.0,8271
2246325,SÜLEYMAN TÜRKOĞLU PARKI,2021-06-26,2021-08-02,412,620.0,1919
2246271,BERFO ANA PARKI,2019-01-23,2019-04-20,431,82.0,11200
670666,TEOMAN EREL PARKI,2022-10-04,2023-05-05,330,6.0,2765
556459,İLHAN ERDOST PARKI,2018-09-01,2018-09-28,333,784.0,2676
671617,ATA PARK,2021-12-01,2022-05-05,676,27.0,6052
1445850,TEOMAN ÖZTÜRK PARKI,2019-06-29,2019-07-29,1373,561.0,8000
2246325,SÜLEYMAN TÜRKOĞLU PARKI,2018-05-22,2018-06-27,286,74.0,1919
1445606,NASUH AKAR PARKI,2022-11-01,2023-10-06,702,187.0,803
1447067,NEŞET ERTAŞ PARKI,2020-07-06,2020-08-06,641,274.0,3160
2246419,ŞÜKRAN GÜNGÖR,2016-07-30,2016-08-31,184,190.0,1058
671617,ATA PARK,2022-07-01,2022-08-04,1082,100.0,6052
1446837,KAĞAN GÜRŞEN PARKI,2018-04-19,2018-05-22,149,16.0,1125
671617,ATA PARK,2017-11-25,2018-04-24,522,88.0,6052
1074424,EFE ECE DALMANOĞLU PARKI,2018-08-29,2019-04-24,6,9.0,25
1445850,TEOMAN ÖZTÜRK PARKI,2018-03-24,2018-04-20,580,33.0,8000
1071503,İSMET İNÖNÜ PARKI,2021-08-05,2021-09-06,1634,2094.0,9088
2246271,BERFO ANA PARKI,2019-09-03,2019-10-02,1611,1449.0,11200
611617,YUNUS EMRE PARKI,2022-08-01,2022-08-31,875,992.0,4847
1446436,RAUF DENKTAŞ PARKI,2018-09-01,2018-09-29,722,605.0,5562
2246419,ŞÜKRAN GÜNGÖR,2015-10-03,2016-04-28,153,53.0,1058
1446573,AYTEN BAYKAL PARKI,2015-03-03,2015-06-02,408,50.0,2236
1447067,NEŞET ERTAŞ PARKI,2018-09-03,2018-10-03,398,1778.0,3160
1071286,NECATİ YURTTAKALAN PARKI,2020-06-04,2020-07-04,151,138.0,1011
1074424,EFE ECE DALMANOĞLU PARKI,2020-09-04,2020-10-05,4,20.0,25
1447076,HAMZA AKSOY PARKI,2023-09-04,2023-10-09,311,264.0,1916
1445606,NASUH AKAR PARKI,2017-10-26,2018-05-24,172,18.0,803
1070089,ATAPARK,2021-09-02,2021-10-04,911,1034.0,8271
1071503,İSMET İNÖNÜ PARKI,2016-08-29,2016-10-03,1347,72.0,9088
1446436,RAUF DENKTAŞ PARKI,2018-07-24,2018-09-01,1475,1109.0,5562
1074372,NEJAT UYGUR PARKI,2016-05-30,2016-06-25,177,497.0,1470
1447076,HAMZA AKSOY PARKI,2022-12-05,2023-07-08,558,1.0,1916
670666,TEOMAN EREL PARKI,2022-08-02,2022-09-06,565,250.0,2765
1446436,RAUF DENKTAŞ PARKI,2015-06-01,2015-07-02,500,731.0,5562
1445606,NASUH AKAR PARKI,2018-07-25,2018-09-05,226,78.0,803
1446573,AYTEN BAYKAL PARKI,2022-09-06,2023-07-07,1052,31.0,2236
1445606,NASUH AKAR PARKI,2019-09-05,2019-10-04,114,34.0,803
670666,TEOMAN EREL PARKI,2018-07-27,2018-09-05,741,511.0,2765
2246271,BERFO ANA PARKI,2023-05-04,2023-07-07,2489,384.0,11200
332018,AFET İNAN PARKI,2017-10-26,2018-05-24,114,2.0,534
1074372,NEJAT UYGUR PARKI,2020-07-04,2020-08-05,305,92.0,1470
1070089,ATAPARK,2014-04-03,2015-06-01,1478,2252.0,8271
1446573,AYTEN BAYKAL PARKI,2017-05-26,2017-06-28,252,18.0,2236
1446959,GÜLTEN ÇAPAR PARKI,2022-09-06,2022-10-06,37,9.0,267
1447100,SEHERGÜL ATEŞ,2016-08-03,2016-09-01,59,278.0,400
1071286,NECATİ YURTTAKALAN PARKI,2017-10-25,2018-04-20,81,32.0,1011
671617,ATA PARK,2017-08-29,2017-10-02,1335,1076.0,6052
1074372,NEJAT UYGUR PARKI,2017-04-25,2017-05-26,182,384.0,1470
1446959,GÜLTEN ÇAPAR PARKI,2015-03-04,2015-06-04,49,24.0,267
1447100,SEHERGÜL ATEŞ,2016-09-01,2016-10-06,60,294.0,400
671617,ATA PARK,2022-06-06,2022-07-01,511,44.0,6052
1447067,NEŞET ERTAŞ PARKI,2015-07-03,2015-08-05,525,852.0,3160
1446573,AYTEN BAYKAL PARKI,2017-07-29,2017-08-28,386,36.0,2236
1446573,AYTEN BAYKAL PARKI,2018-05-24,2018-06-26,309,5.0,2236
671617,ATA PARK,2021-09-02,2021-10-04,666,344.0,6052
670666,TEOMAN EREL PARKI,2017-08-26,2017-09-29,626,318.0,2765
1446436,RAUF DENKTAŞ PARKI,2016-08-29,2016-10-01,767,621.0,5562
2246325,SÜLEYMAN TÜRKOĞLU PARKI,2022-07-30,2022-08-31,380,269.0,1919
1445850,TEOMAN ÖZTÜRK PARKI,2017-04-26,2017-05-27,990,796.0,8000
1447067,NEŞET ERTAŞ PARKI,2017-04-26,2017-05-29,405,45.0,3160
1446966,SEMA YAZAR PARKI,2017-05-26,2017-06-23,247,653.0,2850
2246271,BERFO ANA PARKI,2018-08-31,2018-09-28,1449,2042.0,11200
1071286,NECATİ YURTTAKALAN PARKI,2015-03-03,2015-10-02,734,391.0,1011
2246271,BERFO ANA PARKI,2015-04-30,2015-06-01,1275,1061.0,11200
2246419,ŞÜKRAN GÜNGÖR,2021-09-30,2022-06-29,428,12.0,1058
611617,YUNUS EMRE PARKI,2016-08-31,2016-10-03,685,776.0,4847
1071286,NECATİ YURTTAKALAN PARKI,2020-08-04,2020-09-03,234,102.0,1011
332018,AFET İNAN PARKI,2019-10-05,2020-06-03,153,58.0,534
1446966,SEMA YAZAR PARKI,2022-09-05,2022-09-30,361,188.0,2850
2246271,BERFO ANA PARKI,2022-07-04,2022-08-04,1891,1592.0,11200
670666,TEOMAN EREL PARKI,2021-08-03,2021-09-01,494,559.0,2765
2246271,BERFO ANA PARKI,2017-06-22,2017-07-27,2757,3540.0,11200
1070089,ATAPARK,2022-03-04,2022-06-03,1969,477.0,8271
1446837,KAĞAN GÜRŞEN PARKI,2019-09-04,2019-10-02,153,2.0,1125
2246271,BERFO ANA PARKI,2018-07-24,2018-08-31,2885,2328.0,11200
1446573,AYTEN BAYKAL PARKI,2017-04-27,2017-05-26,262,37.0,2236
1445606,NASUH AKAR PARKI,2016-06-28,2016-08-02,164,2.0,803
1445850,TEOMAN ÖZTÜRK PARKI,2022-08-04,2022-09-05,1514,2198.0,8000
1073156,İSMET İNÖNÜ PARKI,2016-11-03,2017-07-27,4594,1.0,9088
1445606,NASUH AKAR PARKI,2018-10-03,2019-07-01,304,31.0,803
1071503,İSMET İNÖNÜ PARKI,2023-08-05,2023-09-06,2385,1925.0,9088
1447076,HAMZA AKSOY PARKI,2019-05-23,2019-07-30,630,182.0,1916
1447067,NEŞET ERTAŞ PARKI,2018-07-28,2018-09-03,789,126.0,3160
2246025,KEMAL SUNAL PARKI,2021-08-31,2021-09-29,175,98.0,1600
2246325,SÜLEYMAN TÜRKOĞLU PARKI,2015-08-01,2015-08-31,290,527.0,1919
1446436,RAUF DENKTAŞ PARKI,2016-05-27,2016-06-25,709,1262.0,5562
2246325,SÜLEYMAN TÜRKOĞLU PARKI,2022-08-31,2022-09-30,292,230.0,1919
1071503,İSMET İNÖNÜ PARKI,2022-07-01,2022-08-04,1624,1672.0,9088
611617,YUNUS EMRE PARKI,2021-08-31,2021-09-29,532,82.0,4847
2246419,ŞÜKRAN GÜNGÖR,2020-09-04,2020-10-05,172,159.0,1058
556459,İLHAN ERDOST PARKI,2018-11-27,2019-04-22,110,6.0,2676
1071286,NECATİ YURTTAKALAN PARKI,2020-07-04,2020-08-04,202,127.0,1011
1447067,NEŞET ERTAŞ PARKI,2017-10-28,2018-05-24,673,41.0,3160
1445850,TEOMAN ÖZTÜRK PARKI,2023-06-05,2023-07-08,1191,91.0,8000
332018,AFET İNAN PARKI,2022-07-01,2022-08-05,99,340.0,534
2246025,KEMAL SUNAL PARKI,2023-07-05,2023-08-03,310,841.0,1600
611617,YUNUS EMRE PARKI,2022-06-28,2022-08-01,822,1243.0,4847
670666,TEOMAN EREL PARKI,2019-07-01,2019-08-02,517,871.0,2765
1446959,GÜLTEN ÇAPAR PARKI,2019-06-29,2019-07-31,48,31.0,267
1446573,AYTEN BAYKAL PARKI,2020-09-04,2020-10-05,364,56.0,2236
2246419,ŞÜKRAN GÜNGÖR,2019-05-23,2019-06-29,166,122.0,1058
671617,ATA PARK,2017-06-30,2017-07-29,1321,3142.0,6052
1446959,GÜLTEN ÇAPAR PARKI,2018-05-24,2018-06-26,37,13.0,267
1073156,İSMET İNÖNÜ PARKI,2016-05-30,2016-06-27,1202,12.0,9088
1446959,GÜLTEN ÇAPAR PARKI,2017-08-26,2017-09-30,61,38.0,267
2246325,SÜLEYMAN TÜRKOĞLU PARKI,2019-09-03,2019-10-02,276,364.0,1919
1447067,NEŞET ERTAŞ PARKI,2017-07-31,2017-08-28,505,118.0,3160
1445606,NASUH AKAR PARKI,2020-07-30,2020-09-04,217,55.0,803
2246325,SÜLEYMAN TÜRKOĞLU PARKI,2021-08-02,2021-08-31,345,403.0,1919
1074372,NEJAT UYGUR PARKI,2017-08-25,2017-09-28,335,633.0,1470
1447076,HAMZA AKSOY PARKI,2020-07-03,2020-08-06,426,89.0,1916
2246271,BERFO ANA PARKI,2016-05-27,2016-06-25,1428,1999.0,11200
2246271,BERFO ANA PARKI,2017-08-24,2017-09-28,2602,3190.0,11200
1446436,RAUF DENKTAŞ PARKI,2019-06-27,2019-07-29,1022,1394.0,5562
1446573,AYTEN BAYKAL PARKI,2022-06-06,2022-06-29,175,2.0,2236
1074372,NEJAT UYGUR PARKI,2017-05-26,2017-06-23,127,176.0,1470
2246271,BERFO ANA PARKI,2015-07-01,2015-08-03,1840,2916.0,11200
556459,İLHAN ERDOST PARKI,2019-05-22,2019-06-26,386,72.0,2676
1071503,İSMET İNÖNÜ PARKI,2022-06-06,2022-07-01,767,109.0,9088
1446436,RAUF DENKTAŞ PARKI,2016-06-25,2016-07-30,1105,2277.0,5562
2246025,KEMAL SUNAL PARKI,2015-08-29,2015-10-01,285,608.0,1600
1446436,RAUF DENKTAŞ PARKI,2020-09-05,2020-10-08,1012,670.0,5562
1445850,TEOMAN ÖZTÜRK PARKI,2019-09-06,2019-10-04,1086,350.0,8000
1071286,NECATİ YURTTAKALAN PARKI,2017-05-24,2017-07-27,338,166.0,1011
2246419,ŞÜKRAN GÜNGÖR,2018-06-25,2018-07-24,190,217.0,1058
556459,İLHAN ERDOST PARKI,2016-04-29,2016-05-27,203,153.0,2676
332018,AFET İNAN PARKI,2017-08-25,2017-10-02,127,111.0,534
1074424,EFE ECE DALMANOĞLU PARKI,2018-05-22,2018-06-23,3,1.0,25
1070089,ATAPARK,2021-01-07,2021-06-01,1843,173.0,8271
1074424,EFE ECE DALMANOĞLU PARKI,2016-08-01,2016-08-29,3,14.0,25
1447067,NEŞET ERTAŞ PARKI,2019-09-05,2019-10-05,470,1778.0,3160
611617,YUNUS EMRE PARKI,2017-10-28,2018-05-25,1047,1237.0,4847
1070089,ATAPARK,2018-09-03,2018-10-03,1042,255.0,8271
611617,YUNUS EMRE PARKI,2019-08-01,2019-09-06,1042,950.0,4847
332018,AFET İNAN PARKI,2018-09-03,2018-10-01,63,56.0,534
2246025,KEMAL SUNAL PARKI,2015-03-03,2015-04-30,108,80.0,1600
1074372,NEJAT UYGUR PARKI,2022-03-31,2022-04-29,148,3.0,1470
611617,YUNUS EMRE PARKI,2018-09-05,2018-10-02,521,486.0,4847
1074372,NEJAT UYGUR PARKI,2021-05-31,2021-06-29,135,17.0,1470
332018,AFET İNAN PARKI,2017-05-29,2017-06-29,59,82.0,534
1445606,NASUH AKAR PARKI,2016-08-02,2016-09-01,125,802.0,803
2246419,ŞÜKRAN GÜNGÖR,2019-09-05,2019-10-04,150,153.0,1058
1447076,HAMZA AKSOY PARKI,2022-09-05,2022-09-30,243,59.0,1916
1070089,ATAPARK,2022-11-03,2023-07-05,2286,121.0,8271
1447076,HAMZA AKSOY PARKI,2015-06-01,2015-08-04,482,279.0,1916
1446573,AYTEN BAYKAL PARKI,2015-06-02,2015-08-04,557,88.0,2236
671617,ATA PARK,2018-04-24,2018-05-25,786,1107.0,6052
2246271,BERFO ANA PARKI,2020-07-02,2020-08-04,2385,1974.0,11200
1447076,HAMZA AKSOY PARKI,2015-08-04,2016-06-29,1277,88.0,1916
2246419,ŞÜKRAN GÜNGÖR,2021-05-31,2021-06-29,97,21.0,1058
1074372,NEJAT UYGUR PARKI,2022-09-06,2022-10-03,199,243.0,1470
1074372,NEJAT UYGUR PARKI,2022-04-29,2022-06-02,198,109.0,1470
1073156,İSMET İNÖNÜ PARKI,2016-08-01,2016-08-29,1406,476.0,9088
1074424,EFE ECE DALMANOĞLU PARKI,2020-06-01,2020-07-02,3,15.0,25
1073156,İSMET İNÖNÜ PARKI,2018-05-21,2018-06-22,1198,70.0,9088
556459,İLHAN ERDOST PARKI,2023-07-07,2023-09-05,1193,691.0,2676
556459,İLHAN ERDOST PARKI,2020-07-03,2020-08-05,572,230.0,2676
1073156,İSMET İNÖNÜ PARKI,2018-07-23,2018-09-04,2665,532.0,9088
2246325,SÜLEYMAN TÜRKOĞLU PARKI,2016-06-29,2016-08-01,370,807.0,1919
1074372,NEJAT UYGUR PARKI,2016-06-25,2016-07-30,292,834.0,1470
1447076,HAMZA AKSOY PARKI,2018-07-26,2018-09-03,503,176.0,1916
1447076,HAMZA AKSOY PARKI,2018-09-03,2018-10-03,241,158.0,1916
1071286,NECATİ YURTTAKALAN PARKI,2019-07-01,2019-08-01,181,16.0,1011
1446966,SEMA YAZAR PARKI,2020-09-04,2020-10-02,414,261.0,2850
1445850,TEOMAN ÖZTÜRK PARKI,2020-04-29,2020-06-04,1147,212.0,8000
670666,TEOMAN EREL PARKI,2015-03-03,2015-06-04,513,146.0,2765
1446573,AYTEN BAYKAL PARKI,2018-06-26,2018-09-01,963,10.0,2236
2246325,SÜLEYMAN TÜRKOĞLU PARKI,2023-09-04,2023-10-09,311,531.0,1919
332018,AFET İNAN PARKI,2021-09-03,2021-10-01,53,46.0,534
332018,AFET İNAN PARKI,2017-06-29,2017-07-27,113,158.0,534
1073156,İSMET İNÖNÜ PARKI,2019-07-29,2019-09-03,1967,319.0,9088
671617,ATA PARK,2020-11-04,2021-08-04,3188,1143.0,6052
1074424,EFE ECE DALMANOĞLU PARKI,2020-11-02,2021-08-02,12,227.0,25
1446837,KAĞAN GÜRŞEN PARKI,2018-10-30,2019-06-28,345,17.0,1125
1445850,TEOMAN ÖZTÜRK PARKI,2015-08-04,2015-08-31,1104,380.0,8000
2246325,SÜLEYMAN TÜRKOĞLU PARKI,2023-07-05,2023-08-02,357,288.0,1919
1445621,GÜL DÜNYA PARKI,2015-02-28,2015-04-29,88,3.0,1372
670666,TEOMAN EREL PARKI,2016-09-03,2017-04-27,754,415.0,2765
1074372,NEJAT UYGUR PARKI,2015-11-30,2016-05-30,255,300.0,1470
332018,AFET İNAN PARKI,2022-08-05,2022-09-06,99,647.0,534
1446959,GÜLTEN ÇAPAR PARKI,2017-05-29,2017-06-29,29,18.0,267
1445850,TEOMAN ÖZTÜRK PARKI,2019-05-24,2019-06-29,1238,457.0,8000
556459,İLHAN ERDOST PARKI,2015-07-01,2015-09-01,827,1434.0,2676
1445850,TEOMAN ÖZTÜRK PARKI,2016-05-27,2016-06-27,1111,439.0,8000
2246271,BERFO ANA PARKI,2020-08-04,2020-09-03,2597,1866.0,11200
1445606,NASUH AKAR PARKI,2020-07-02,2020-07-30,145,66.0,803
2246025,KEMAL SUNAL PARKI,2017-08-24,2017-09-27,369,881.0,1600
1447076,HAMZA AKSOY PARKI,2023-08-05,2023-09-04,487,264.0,1916
2246025,KEMAL SUNAL PARKI,2018-07-24,2018-08-31,412,472.0,1600
1446966,SEMA YAZAR PARKI,2022-09-30,2023-09-05,2260,309.0,2850
556459,İLHAN ERDOST PARKI,2018-03-21,2018-05-22,534,140.0,2676
611617,YUNUS EMRE PARKI,2016-08-02,2016-08-31,743,1340.0,4847
2246271,BERFO ANA PARKI,2015-08-03,2015-09-01,1682,2383.0,11200
2246419,ŞÜKRAN GÜNGÖR,2015-09-01,2015-10-03,175,410.0,1058
2246325,SÜLEYMAN TÜRKOĞLU PARKI,2020-11-02,2021-05-31,423,24.0,1919
1074372,NEJAT UYGUR PARKI,2023-09-05,2023-10-06,220,87.0,1470
1446966,SEMA YAZAR PARKI,2015-03-03,2015-05-02,204,1.0,2850
1447076,HAMZA AKSOY PARKI,2015-03-04,2015-06-01,342,169.0,1916
1073156,İSMET İNÖNÜ PARKI,2019-07-01,2019-07-29,1484,252.0,9088
1446436,RAUF DENKTAŞ PARKI,2022-04-28,2022-08-01,2202,2341.0,5562
1446573,AYTEN BAYKAL PARKI,2020-10-05,2021-06-29,941,17.0,2236
1071503,İSMET İNÖNÜ PARKI,2017-04-27,2017-05-29,1130,1010.0,9088
2246325,SÜLEYMAN TÜRKOĞLU PARKI,2015-03-03,2015-05-30,333,385.0,1919
671617,ATA PARK,2016-06-27,2016-08-02,1276,2311.0,6052
1074424,EFE ECE DALMANOĞLU PARKI,2016-11-03,2017-05-30,4,129.0,25
1073156,İSMET İNÖNÜ PARKI,2019-09-03,2019-10-07,1522,273.0,9088
556459,İLHAN ERDOST PARKI,2017-03-25,2017-04-25,164,1.0,2676
1447100,SEHERGÜL ATEŞ,2016-06-28,2016-08-03,85,219.0,400
556459,İLHAN ERDOST PARKI,2017-06-22,2017-07-27,658,634.0,2676
1071503,İSMET İNÖNÜ PARKI,2019-07-01,2019-07-30,1533,2638.0,9088
1446837,KAĞAN GÜRŞEN PARKI,2019-06-28,2019-07-31,211,23.0,1125
2246025,KEMAL SUNAL PARKI,2020-09-02,2020-10-02,270,265.0,1600
1446966,SEMA YAZAR PARKI,2015-06-01,2016-05-30,2221,37.0,2850
1446966,SEMA YAZAR PARKI,2019-07-30,2019-09-04,606,150.0,2850
611617,YUNUS EMRE PARKI,2020-06-04,2020-07-06,785,183.0,4847
2246025,KEMAL SUNAL PARKI,2018-03-21,2018-05-21,314,500.0,1600
1447076,HAMZA AKSOY PARKI,2023-07-08,2023-08-05,368,211.0,1916
671617,ATA PARK,2016-09-02,2016-10-04,851,1451.0,6052
670666,TEOMAN EREL PARKI,2015-06-04,2015-07-03,233,56.0,2765
1071503,İSMET İNÖNÜ PARKI,2017-06-22,2017-07-27,2237,3807.0,9088
1070089,ATAPARK,2019-08-01,2019-09-06,1779,162.0,8271
611617,YUNUS EMRE PARKI,2022-05-05,2022-06-01,564,379.0,4847
1446959,GÜLTEN ÇAPAR PARKI,2015-07-02,2015-09-01,81,63.0,267
1446436,RAUF DENKTAŞ PARKI,2017-06-23,2017-07-28,1373,2099.0,5562
611617,YUNUS EMRE PARKI,2020-09-07,2020-10-07,799,84.0,4847
1070089,ATAPARK,2016-08-02,2016-09-02,1325,391.0,8271
2246025,KEMAL SUNAL PARKI,2023-06-01,2023-07-05,228,43.0,1600
1070089,ATAPARK,2018-10-03,2019-06-29,3075,335.0,8271
670666,TEOMAN EREL PARKI,2017-05-27,2017-06-30,342,231.0,2765
2246325,SÜLEYMAN TÜRKOĞLU PARKI,2018-07-23,2018-08-29,485,366.0,1919
2246419,ŞÜKRAN GÜNGÖR,2020-08-04,2020-09-04,254,234.0,1058
1447076,HAMZA AKSOY PARKI,2021-08-04,2021-09-02,332,543.0,1916
1445850,TEOMAN ÖZTÜRK PARKI,2019-07-29,2019-09-06,1892,640.0,8000
1446837,KAĞAN GÜRŞEN PARKI,2021-10-28,2022-06-01,261,87.0,1125
1446573,AYTEN BAYKAL PARKI,2016-03-01,2016-05-02,227,1.0,2236
611617,YUNUS EMRE PARKI,2018-11-02,2019-05-25,753,136.0,4847
1071286,NECATİ YURTTAKALAN PARKI,2016-03-31,2016-06-29,312,187.0,1011
332018,AFET İNAN PARKI,2019-08-02,2019-09-06,111,59.0,534
671617,ATA PARK,2018-08-31,2018-10-03,889,949.0,6052
1446436,RAUF DENKTAŞ PARKI,2019-07-29,2019-09-04,1243,1150.0,5562
611617,YUNUS EMRE PARKI,2019-05-25,2019-07-01,769,275.0,4847
1445850,TEOMAN ÖZTÜRK PARKI,2018-04-20,2018-05-21,1013,42.0,8000
2246419,ŞÜKRAN GÜNGÖR,2018-04-20,2018-05-22,137,73.0,1058
2246271,BERFO ANA PARKI,2023-09-05,2023-10-09,1799,1863.0,11200
1074424,EFE ECE DALMANOĞLU PARKI,2021-08-02,2021-08-31,4,30.0,25
1071503,İSMET İNÖNÜ PARKI,2017-08-24,2017-09-29,2144,2296.0,9088
1070089,ATAPARK,2017-07-31,2017-08-28,1322,331.0,8271
671617,ATA PARK,2015-07-31,2016-05-28,3308,4832.0,6052
2246325,SÜLEYMAN TÜRKOĞLU PARKI,2021-05-31,2021-06-26,156,39.0,1919
1073156,İSMET İNÖNÜ PARKI,2022-06-06,2022-07-01,767,32.0,9088
1074372,NEJAT UYGUR PARKI,2015-08-01,2015-09-03,257,592.0,1470
1445850,TEOMAN ÖZTÜRK PARKI,2023-09-05,2023-10-04,1136,297.0,8000
1447067,NEŞET ERTAŞ PARKI,2016-06-29,2016-08-02,638,775.0,3160
1446837,KAĞAN GÜRŞEN PARKI,2018-03-23,2018-04-19,78,34.0,1125
1071503,İSMET İNÖNÜ PARKI,2020-06-03,2021-08-05,12467,28239.0,9088
1446436,RAUF DENKTAŞ PARKI,2019-09-04,2019-10-03,794,643.0,5562
671617,ATA PARK,2020-04-01,2020-04-29,472,305.0,6052
2246271,BERFO ANA PARKI,2018-03-21,2018-04-19,785,142.0,11200
2246025,KEMAL SUNAL PARKI,2018-08-31,2018-09-28,207,283.0,1600
2246419,ŞÜKRAN GÜNGÖR,2016-05-30,2016-06-27,139,313.0,1058
2246271,BERFO ANA PARKI,2019-04-20,2019-05-22,1242,64.0,11200
1446436,RAUF DENKTAŞ PARKI,2017-07-28,2017-08-24,881,1109.0,5562
1446837,KAĞAN GÜRŞEN PARKI,2021-06-26,2021-08-02,241,26.0,1125
556459,İLHAN ERDOST PARKI,2018-05-22,2018-06-22,346,116.0,2676
2246025,KEMAL SUNAL PARKI,2016-05-27,2016-06-25,204,694.0,1600
1447076,HAMZA AKSOY PARKI,2019-12-04,2020-06-04,418,67.0,1916
1446436,RAUF DENKTAŞ PARKI,2017-08-24,2017-09-28,1292,1023.0,5562
1446959,GÜLTEN ÇAPAR PARKI,2021-09-30,2022-06-06,88,10.0,267
1074372,NEJAT UYGUR PARKI,2019-05-22,2019-06-27,222,242.0,1470
1445850,TEOMAN ÖZTÜRK PARKI,2019-03-26,2019-04-25,395,6.0,8000
671617,ATA PARK,2020-04-29,2020-08-05,2964,248.0,6052
332018,AFET İNAN PARKI,2022-09-06,2022-10-05,74,62.0,534
1071286,NECATİ YURTTAKALAN PARKI,2020-09-03,2020-10-05,177,57.0,1011
2246271,BERFO ANA PARKI,2021-11-30,2022-05-05,1251,509.0,11200
